company,title,year_experience,predicted_salary,status,new_salary
Tana,Dev,0.0,1144099.77,ambany loatra,1500000.0
Tana,Dev,2.0,2061819.98,normal,2061819.98
Remote,Dev,1.0,1427305.99,ambany loatra,3000000.0
Tana,Dev,4.0,3602692.64,normal,3602692.64
Tana,Dev,1.0,1144099.77,normal,1144099.77
Tana,Dev,5.0,3602692.64,normal,3602692.64
Tana,Dev,1.0,1144099.77,normal,1144099.77
Tana,Dev,10.0,3414353.94,ambany loatra,10000000.0
Tana,Dev,50.0,3265084.37,normal,3265084.37
Remote,IA,0.0,1206885.57,ambany loatra,1500000.0
Remote,Dev,3.0,1860533.65,ambany loatra,4000000.0
Tana,Dev,8.0,3414353.94,ambany loatra,6000000.0
Remote,IA,0.0,1206885.57,ambany loatra,1206885.57
Tana,Dev,5.0,3602692.64,normal,3602692.64
Tana,Dev,3.0,2061819.98,normal,2061819.98
Faritra,Dev,2.0,3142801.68,normal,3142801.68
Tana,Dev,2.0,2061819.98,normal,2061819.98
Tana,IA,0.0,1293179.75,normal,1293179.75
Remote,Dev,1.0,1427305.99,normal,1427305.99
Remote,Dev,2.0,1860533.65,antonony,1860533.65
Remote,Dev,5.0,3624355.24,antonony,3624355.24
Tana,Dev,5.0,3602692.64,ambany loatra,5000000.0
Tana,Dev,4.0,3602692.64,ambany loatra,4500000.0
Tana,Dev,3.0,2061819.98,ambany loatra,4000000.0
Tana,DevOps,1.0,1429442.74,normal,1429442.74
Tana,DevOps,5.0,3529498.85,antonony,3529498.85
Tana,Dev,4.0,3602692.64,normal,3602692.64
Remote,DevOps,1.0,1427305.99,antonony,1427305.99
Remote,Dev,2.0,1860533.65,ambany loatra,3000000.0
Tana,Dev,1.0,1144099.77,ambany loatra,1500000.0
Tana,Dev,1.0,1144099.77,normal,1144099.77
Tana,Dev,3.0,2061819.98,normal,2061819.98
Remote,Dev,6.0,6018193.91,antonony,6018193.91
Tana,Dev,0.0,1144099.77,normal,1144099.77
Tana,Dev,4.0,3602692.64,normal,3602692.64
Tana,Dev,5.0,3602692.64,normal,3602692.64
Tana,Dev,5.0,3602692.64,normal,3602692.64
Tana,Dev,1.0,1144099.77,ambany loatra,1200000.0
Remote,Dev,4.0,3624355.24,ambany loatra,8000000.0
Faritra,Dev,5.0,4806591.39,ambony loatra,2500000.0
Remote,Dev,0.0,1427305.99,normal,1427305.99
Remote,Dev,0.0,1427305.99,normal,1427305.99
Tana,Dev,3.0,2061819.98,ambany loatra,2500000.0
Tana,Dev,4.0,3602692.64,normal,3602692.64
Tana,Dev,1.0,1144099.77,normal,1144099.77
Tana,Dev,0.0,1144099.77,normal,1144099.77
Tana,Dev,1.0,1144099.77,normal,1144099.77
Remote,Dev,10.0,6018193.91,ambany loatra,10000000.0
Tana,Dev,5.0,3602692.64,ambany loatra,5000000.0
Remote,Dev,0.0,1427305.99,normal,1427305.99
Remote,Dev,5.0,3624355.24,ambany loatra,5000000.0
Tana,Dev,0.0,1144099.77,ambony loatra,1144099.77
Tana,Dev,0.0,1144099.77,ambony loatra,1000000.0
Tana,DevOps,5.0,3529498.85,normal,3529498.85
Remote,Dev,5.0,3624355.24,ambany loatra,5000000.0
Tana,Dev,2.0,2061819.98,ambony loatra,1600000.0
