,company,title,year_experience,salary,log_salary,exp_category,title_category,company_encoded,title_encoded,exp_encoded
34,Faritra,Dev,0.5,300000,12.611541086966115,Junior,dev,0,1,4
35,Tana,dev,0.5,700000,13.45883704259595,Junior,dev,2,1,4
36,Tana,dev,0.5,800000,13.592368256649284,Junior,dev,2,1,4
37,Tana,dev,0.5,1000000,13.815511557963774,Junior,dev,2,1,4
38,Tana,dev,0.5,1010000,13.825461878915961,Junior,dev,2,1,4
39,Tana,dev,0.5,1500000,14.220976332738882,Junior,dev,2,1,4
40,Tana,IA/ML Engineer,0.5,1800000,14.403297778421795,Junior,AI,2,0,4
41,Tana,dev,0.5,2680000,14.801327725621299,Junior,dev,2,1,4
42,Tana,dev,1.0,500000,13.122365377402328,Junior,dev,2,1,4
43,Tana,dev,1.0,550000,13.217675375388819,Junior,dev,2,1,4
44,Tana,dev,1.0,600000,13.304686600863562,Junior,dev,2,1,4
45,Tana,dev,1.0,650000,13.384729180332174,Junior,dev,2,1,4
46,Tana,dev,1.0,800000,13.592368256649284,Junior,dev,2,1,4
47,Tana,IA/ML Engineer,1.0,1000000,13.815511557963774,Junior,AI,2,0,4
48,Tana,dev,1.0,1200000,13.997832948091215,Junior,dev,2,1,4
49,Tana,dev,1.0,1200000,13.997832948091215,Junior,dev,2,1,4
50,Tana,IA/ML Engineer,1.0,1200000,13.997832948091215,Junior,AI,2,0,4
51,Tana,dev,1.0,1200000,13.997832948091215,Junior,dev,2,1,4
52,Tana,IA/ML Engineer,1.0,1200000,13.997832948091215,Junior,AI,2,0,4
53,Tana,dev,1.0,1222000,14.016000237043949,Junior,dev,2,1,4
54,Tana,dev,1.0,1320000,14.093143052138025,Junior,dev,2,1,4
55,Tana,dev,1.0,1400000,14.151983508870947,Junior,dev,2,1,4
56,Tana,dev,1.0,1400000,14.151983508870947,Junior,dev,2,1,4
57,Tana,dev,1.0,1600000,14.285514812209815,Junior,dev,2,1,4
58,Faritra,IA/ML Engineer,1.0,1850000,14.430696737594902,Junior,AI,0,0,4
59,Faritra,dev,1.0,1900000,14.45736497045232,Junior,dev,0,1,4
60,Tana,dev,1.0,2000000,14.508658238524095,Junior,dev,2,1,4
61,Tana,IA/ML Engineer,1.0,2000000,14.508658238524095,Junior,AI,2,0,4
62,Tana,dev,1.0,2100000,14.557448378884015,Junior,dev,2,1,4
63,Tana,IA/ML Engineer,1.0,2400000,14.690979711984754,Junior,AI,2,0,4
64,Tana,IA/ML Engineer,1.0,3000000,14.914123179965662,Junior,AI,2,0,4
65,Faritra,dev,1.0,3000000,14.914123179965662,Junior,dev,0,1,4
